player,runs,mins,balls,fours,sixes,sr,batting,opposition,ground,date
G Gambhir (INDIA),8,13,12,1,0,66.66,1,v Sri Lanka,Dhaka,05/01/10
V Sehwag (INDIA),47,44,31,9,0,151.61,1,v Sri Lanka,Dhaka,05/01/10
V Kohli (INDIA),9,19,12,1,0,75,1,v Sri Lanka,Dhaka,05/01/10
Yuvraj Singh (INDIA),74,127,84,6,2,88.09,1,v Sri Lanka,Dhaka,05/01/10
MS Dhoni (INDIA),37,85,70,3,0,52.85,1,v Sri Lanka,Dhaka,05/01/10
SK Raina (INDIA),35,66,46,4,0,76.08,1,v Sri Lanka,Dhaka,05/01/10
RA Jadeja (INDIA),39,41,34,3,1,114.7,1,v Sri Lanka,Dhaka,05/01/10
G Gambhir (INDIA),18,37,24,2,0,75,2,v Bangladesh,Dhaka,07/01/10
V Sehwag (INDIA),13,17,8,2,0,162.5,2,v Bangladesh,Dhaka,07/01/10
V Kohli (INDIA),91,136,102,7,0,89.21,2,v Bangladesh,Dhaka,07/01/10
Yuvraj Singh (INDIA),1,5,4,0,0,25,2,v Bangladesh,Dhaka,07/01/10
MS Dhoni (INDIA),101*,167,107,9,0,94.39,2,v Bangladesh,Dhaka,07/01/10
SK Raina (INDIA),51*,57,43,5,1,118.6,2,v Bangladesh,Dhaka,07/01/10
RA Jadeja (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Dhaka,07/01/10
KD Karthik (INDIA),48,55,40,9,0,120,2,v Sri Lanka,Dhaka,10/01/10
G Gambhir (INDIA),71,129,86,10,0,82.55,2,v Sri Lanka,Dhaka,10/01/10
V Kohli (INDIA),71*,98,68,9,0,104.41,2,v Sri Lanka,Dhaka,10/01/10
Yuvraj Singh (INDIA),8*,24,7,0,0,114.28,2,v Sri Lanka,Dhaka,10/01/10
SK Raina (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dhaka,10/01/10
MS Dhoni (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dhaka,10/01/10
A Mishra (INDIA),DNB,-0,-0,-0,-0,-0,2,v Sri Lanka,Dhaka,10/01/10
KD Karthik (INDIA),34,53,39,3,1,87.17,2,v Bangladesh,Dhaka,11/01/10
G Gambhir (INDIA),41,69,46,5,0,89.13,2,v Bangladesh,Dhaka,11/01/10
V Kohli (INDIA),102*,128,95,11,0,107.36,2,v Bangladesh,Dhaka,11/01/10
Yuvraj Singh (INDIA),13,28,25,1,0,52,2,v Bangladesh,Dhaka,11/01/10
MS Dhoni (INDIA),32,53,35,3,0,91.42,2,v Bangladesh,Dhaka,11/01/10
SK Raina (INDIA),18*,29,18,1,0,100,2,v Bangladesh,Dhaka,11/01/10
A Mishra (INDIA),DNB,-0,-0,-0,-0,-0,2,v Bangladesh,Dhaka,11/01/10
V Sehwag (INDIA),42,52,27,7,0,155.55,1,v Sri Lanka,Dhaka,13/01/10
G Gambhir (INDIA),0,2,2,0,0,0,1,v Sri Lanka,Dhaka,13/01/10
V Kohli (INDIA),2,6,8,0,0,25,1,v Sri Lanka,Dhaka,13/01/10
Yuvraj Singh (INDIA),0,8,3,0,0,0,1,v Sri Lanka,Dhaka,13/01/10
MS Dhoni (INDIA),14,23,19,3,0,73.68,1,v Sri Lanka,Dhaka,13/01/10
SK Raina (INDIA),106,152,115,10,1,92.17,1,v Sri Lanka,Dhaka,13/01/10
RA Jadeja (INDIA),38,93,64,0,0,59.37,1,v Sri Lanka,Dhaka,13/01/10
SR Watson (AUSTRALIA),5,14,12,0,0,41.66,2,v Pakistan,Brisbane,22/01/10
SE Marsh (AUSTRALIA),15,37,24,2,0,62.5,2,v Pakistan,Brisbane,22/01/10
RT Ponting (AUSTRALIA),27,61,47,1,0,57.44,2,v Pakistan,Brisbane,22/01/10
MJ Clarke (AUSTRALIA),58,108,76,1,0,76.31,2,v Pakistan,Brisbane,22/01/10
CL White (AUSTRALIA),105,114,88,8,4,119.31,2,v Pakistan,Brisbane,22/01/10
MEK Hussey (AUSTRALIA),35*,55,37,2,0,94.59,2,v Pakistan,Brisbane,22/01/10
BJ Haddin (AUSTRALIA),7*,10,7,0,0,100,2,v Pakistan,Brisbane,22/01/10
SR Watson (AUSTRALIA),69,84,71,9,1,97.18,1,v Pakistan,Sydney,24/01/10
SE Marsh (AUSTRALIA),41,97,60,4,0,68.33,1,v Pakistan,Sydney,24/01/10
RT Ponting (AUSTRALIA),13,35,28,0,0,46.42,1,v Pakistan,Sydney,24/01/10
MJ Clarke (AUSTRALIA),25,51,35,2,0,71.42,1,v Pakistan,Sydney,24/01/10
CL White (AUSTRALIA),55,91,58,4,1,94.82,1,v Pakistan,Sydney,24/01/10
MEK Hussey (AUSTRALIA),29,41,34,1,0,85.29,1,v Pakistan,Sydney,24/01/10
BJ Haddin (AUSTRALIA),27*,23,14,3,0,192.85,1,v Pakistan,Sydney,24/01/10
SR Watson (AUSTRALIA),33,57,37,5,0,89.18,1,v Pakistan,Adelaide,26/01/10
SE Marsh (AUSTRALIA),83,131,113,7,0,73.45,1,v Pakistan,Adelaide,26/01/10
RT Ponting (AUSTRALIA),0,3,3,0,0,0,1,v Pakistan,Adelaide,26/01/10
MJ Clarke (AUSTRALIA),80,150,90,3,0,88.88,1,v Pakistan,Adelaide,26/01/10
CL White (AUSTRALIA),28,40,31,3,0,90.32,1,v Pakistan,Adelaide,26/01/10
MEK Hussey (AUSTRALIA),49,37,28,5,1,175,1,v Pakistan,Adelaide,26/01/10
BJ Haddin (AUSTRALIA),1*,4,1,0,0,100,1,v Pakistan,Adelaide,26/01/10
SE Marsh (AUSTRALIA),12,28,27,1,0,44.44,1,v Pakistan,Perth,29/01/10
BJ Haddin (AUSTRALIA),32,51,26,4,0,123.07,1,v Pakistan,Perth,29/01/10
RT Ponting (AUSTRALIA),30,64,41,1,1,73.17,1,v Pakistan,Perth,29/01/10
MJ Clarke (AUSTRALIA),10,15,11,0,0,90.9,1,v Pakistan,Perth,29/01/10
CL White (AUSTRALIA),44,75,63,3,1,69.84,1,v Pakistan,Perth,29/01/10
MEK Hussey (AUSTRALIA),67,115,75,4,0,89.33,1,v Pakistan,Perth,29/01/10
JR Hopes (AUSTRALIA),16,22,16,2,0,100,1,v Pakistan,Perth,29/01/10
SE Marsh (AUSTRALIA),25,49,37,3,0,67.56,2,v Pakistan,Perth,31/01/10
BJ Haddin (AUSTRALIA),7,22,13,0,0,53.84,2,v Pakistan,Perth,31/01/10
RT Ponting (AUSTRALIA),55,95,78,6,0,70.51,2,v Pakistan,Perth,31/01/10
CL White (AUSTRALIA),13,20,20,1,1,65,2,v Pakistan,Perth,31/01/10
AC Voges (AUSTRALIA),24,63,47,1,0,51.06,2,v Pakistan,Perth,31/01/10
MEK Hussey (AUSTRALIA),40*,86,46,3,0,86.95,2,v Pakistan,Perth,31/01/10
JR Hopes (AUSTRALIA),6,14,15,0,0,40,2,v Pakistan,Perth,31/01/10
