player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
Harbhajan Singh (INDIA),10,1,47,3,4.7,15.66,20,v Sri Lanka,Dhaka,05/01/10
RA Jadeja (INDIA),4,0,31,0,7.75,-0,-0,v Sri Lanka,Dhaka,05/01/10
Z Khan (INDIA),9,0,57,0,6.33,-0,-0,v Sri Lanka,Dhaka,05/01/10
A Nehra (INDIA),8,0,55,0,6.87,-0,-0,v Sri Lanka,Dhaka,05/01/10
V Sehwag (INDIA),5,0,26,0,5.2,-0,-0,v Sri Lanka,Dhaka,05/01/10
S Sreesanth (INDIA),7,0,47,1,6.71,47,42,v Sri Lanka,Dhaka,05/01/10
Yuvraj Singh (INDIA),5,0,19,0,3.8,-0,-0,v Sri Lanka,Dhaka,05/01/10
Harbhajan Singh (INDIA),9,0,56,1,6.22,56,54,v Bangladesh,Dhaka,07/01/10
RA Jadeja (INDIA),9,0,45,1,5,45,54,v Bangladesh,Dhaka,07/01/10
Z Khan (INDIA),6,0,43,0,7.16,-0,-0,v Bangladesh,Dhaka,07/01/10
A Nehra (INDIA),6,0,44,1,7.33,44,36,v Bangladesh,Dhaka,07/01/10
V Sehwag (INDIA),2,0,17,0,8.5,-0,-0,v Bangladesh,Dhaka,07/01/10
S Sreesanth (INDIA),8,0,54,1,6.75,54,48,v Bangladesh,Dhaka,07/01/10
Yuvraj Singh (INDIA),10,0,33,1,3.3,33,60,v Bangladesh,Dhaka,07/01/10
RA Jadeja (INDIA),6,1,21,0,3.5,-0,-0,v Sri Lanka,Dhaka,10/01/10
Z Khan (INDIA),10,2,38,3,3.8,12.66,20,v Sri Lanka,Dhaka,10/01/10
A Mishra (INDIA),9.1,1,40,3,4.36,13.33,18.3,v Sri Lanka,Dhaka,10/01/10
SK Raina (INDIA),3,0,9,0,3,-0,-0,v Sri Lanka,Dhaka,10/01/10
S Sreesanth (INDIA),7,0,38,1,5.42,38,42,v Sri Lanka,Dhaka,10/01/10
S Tyagi (INDIA),7,1,46,1,6.57,46,42,v Sri Lanka,Dhaka,10/01/10
Yuvraj Singh (INDIA),4,0,18,1,4.5,18,24,v Sri Lanka,Dhaka,10/01/10
RA Jadeja (INDIA),6,1,23,0,3.83,-0,-0,v Bangladesh,Dhaka,11/01/10
A Mishra (INDIA),10,0,54,0,5.4,-0,-0,v Bangladesh,Dhaka,11/01/10
A Nehra (INDIA),10,1,58,2,5.8,29,30,v Bangladesh,Dhaka,11/01/10
S Sreesanth (INDIA),8,0,53,1,6.62,53,48,v Bangladesh,Dhaka,11/01/10
S Tyagi (INDIA),6,2,24,1,4,24,36,v Bangladesh,Dhaka,11/01/10
Yuvraj Singh (INDIA),10,1,33,1,3.3,33,60,v Bangladesh,Dhaka,11/01/10
Harbhajan Singh (INDIA),10,0,41,2,4.1,20.5,30,v Sri Lanka,Dhaka,13/01/10
