team,score,overs,rpo,innings,result,opposition,ground,date,toss
India,156/7,46,3.39,1,lost,v England,Ahmedabad,1981-11-25,lost
England,160/5,43.5,3.65,2,won,v India,Ahmedabad,1981-11-25,won
England,161/7,36,4.47,1,lost,v India,Jalandhar,1981-12-20,lost
India,164/4,35.3,4.61,2,won,v England,Jalandhar,1981-12-20,won
England,230/6,46,5,1,lost,v India,Cuttack,1982-01-27,lost
India,231/5,42,5.5,2,won,v England,Cuttack,1982-01-27,won
Sri Lanka,277/8,50,5.54,1,lost,v India,Delhi,1982-09-15,won
India,281/4,40.5,6.88,2,won,v Sri Lanka,Delhi,1982-09-15,lost
Sri Lanka,233/8,50,4.66,1,lost,v India,Bengaluru,1982-09-26,won
India,234/4,39.2,5.94,2,won,v Sri Lanka,Bengaluru,1982-09-26,lost
India,269/7,46,5.84,1,won,v Sri Lanka,Amritsar,1982-12-09,lost
Sri Lanka,191/8,46,4.15,2,lost,v India,Amritsar,1982-12-09,won
India,240/7,47,5.1,1,lost,v West Indies,Indore,1983-01-12,won
West Indies,241/2,45.2,5.31,2,won,v India,Indore,1983-01-12,lost
Pakistan,166/9,46,3.6,1,lost,v India,Jaipur,1983-02-10,lost
India,169/6,40.4,4.15,2,won,v Pakistan,Jaipur,1983-02-10,won
West Indies,333/8,45,7.4,1,won,v India,Jamshedpur,1983-07-12,lost
India,229/5,45,5.08,2,lost,v West Indies,Jamshedpur,1983-07-12,won
India,214/6,49,4.36,1,lost,v West Indies,Vadodara,1983-09-11,won
West Indies,217/6,47.5,4.53,2,won,v India,Vadodara,1983-09-11,lost
Pakistan,151/8,46,3.28,1,lost,v India,Hyderabad (Deccan),1983-10-09,lost
India,152/6,43,3.53,2,won,v Pakistan,Hyderabad (Deccan),1983-10-09,won
India,176,41.2,4.25,1,lost,v West Indies,Srinagar,1983-10-13,lost
West Indies,108/0,22.4,4.76,2,won,v India,Srinagar,1983-10-13,won
India,178/7,44,4.04,1,lost,v West Indies,Guwahati,1983-12-17,lost
West Indies,182/4,41.4,4.36,2,won,v India,Guwahati,1983-12-17,won
India,175,37,4.72,1,n/r,v Australia,Thiruvananthapuram,1984-01-10,lost
Australia,29/01/19,7.4,3.78,2,n/r,v India,Thiruvananthapuram,1984-01-10,won
Australia,DNB,0,-,0,n/r,v India,Jamshedpur,1984-03-10,won
India,21/02/19,5.1,4.06,1,n/r,v Australia,Jamshedpur,1984-03-10,lost
India,206/6,46,4.47,1,lost,v Australia,Ahmedabad,1984-05-10,lost
Australia,210/3,43.5,4.79,2,won,v India,Ahmedabad,1984-05-10,won
India,214/6,45,4.75,1,lost,v England,Pune,1984-05-12,lost
England,215/6,43.2,4.96,2,won,v India,Pune,1984-05-12,won
India,235/5,44,5.34,1,lost,v Australia,Indore,1984-06-10,lost
Australia,236/4,40.1,5.87,2,won,v India,Indore,1984-06-10,won
Australia,220/9,48,4.58,1,won,v India,New Delhi,1984-09-28,won
India,172,40.5,4.21,2,lost,v Australia,New Delhi,1984-09-28,lost
India,252/5,49,5.14,1,lost,v England,Cuttack,1984-12-27,lost
England,241/6,46,5.23,2,won,v India,Cuttack,1984-12-27,won
India,205/6,46,4.45,1,lost,v England,Bengaluru,1985-01-20,lost
England,206/7,45,4.57,2,won,v India,Bengaluru,1985-01-20,won
England,240/7,50,4.8,1,lost,v India,Nagpur,1985-01-23,lost
India,241/7,47.4,5.05,2,won,v England,Nagpur,1985-01-23,won
England,121/6,15,8.06,1,won,v India,Chandigarh,1985-01-27,lost
India,114/5,15,7.6,2,lost,v England,Chandigarh,1985-01-27,won
Australia,238/6,45,5.28,1,lost,v India,Delhi,1986-02-10,lost
India,242/7,43.3,5.56,2,won,v Australia,Delhi,1986-02-10,won
India,193,47.4,4.04,1,won,v Australia,Ahmedabad,1986-05-10,won
Australia,141,43.3,3.24,2,lost,v India,Ahmedabad,1986-05-10,lost
Australia,250/3,47,5.31,1,lost,v India,Jaipur,1986-07-09,lost
India,251/3,41,6.12,2,won,v Australia,Jaipur,1986-07-09,won
India,260/6,48,5.41,1,lost,v Australia,Rajkot,1986-07-10,lost
Australia,263/3,46.3,5.65,2,won,v India,Rajkot,1986-07-10,won
India,222/8,47,4.72,1,lost,v Australia,Srinagar,1986-09-09,lost
Australia,226/7,46,4.91,2,won,v India,Srinagar,1986-09-09,won
Australia,242/6,47,5.14,1,n/r,v India,Hyderabad (Deccan),1986-09-24,lost
India,41/1,10.4,3.84,2,n/r,v Australia,Hyderabad (Deccan),1986-09-24,won
Sri Lanka,195/8,46,4.23,1,won,v India,Kanpur,1986-12-24,lost
India,78,24.1,3.22,2,lost,v Sri Lanka,Kanpur,1986-12-24,won
Sri Lanka,208/6,44,4.72,1,lost,v India,Delhi,1987-01-13,lost
India,209/4,41.3,5.03,2,won,v Sri Lanka,Delhi,1987-01-13,won
India,235/8,43,5.46,1,won,v Sri Lanka,Vadodara,1987-01-15,lost
Sri Lanka,141,36.3,3.86,2,lost,v India,Vadodara,1987-01-15,won
India,299/4,40,7.47,1,won,v Sri Lanka,Mumbai,1987-01-17,lost
Sri Lanka,289/7,40,7.22,2,lost,v India,Mumbai,1987-01-17,won
India,196/7,45,4.35,1,lost,v Pakistan,Indore,1987-01-27,lost
Pakistan,200/7,44,4.54,2,won,v India,Indore,1987-01-27,won
India,238/6,40,5.95,1,lost,v Pakistan,Kolkata,1987-02-18,lost
Pakistan,241/8,39.3,6.1,2,won,v India,Kolkata,1987-02-18,won
India,212/6,44,4.81,1,won,v Pakistan,Hyderabad (Deccan),1987-03-20,lost
Pakistan,212/7,44,4.81,2,lost,v India,Hyderabad (Deccan),1987-03-20,won
India,120/9,42,2.85,1,lost,v Pakistan,Pune,1987-03-22,won
Pakistan,121/4,37.2,3.24,2,won,v India,Pune,1987-03-22,lost
Pakistan,286/6,44,6.5,1,won,v India,Nagpur,1987-03-24,lost
India,245/9,44,5.56,2,lost,v Pakistan,Nagpur,1987-03-24,won
India,265/3,44,6.02,1,lost,v Pakistan,Jamshedpur,1987-03-26,lost
Pakistan,266/5,43.2,6.13,2,won,v India,Jamshedpur,1987-03-26,won
England,254/6,50,5.08,1,won,v India,Mumbai,1987-05-11,lost
India,219,45.3,4.81,2,lost,v England,Mumbai,1987-05-11,won
Australia,253/5,50,5.06,1,won,v England,Kolkata,1987-08-11,won
England,246/8,50,4.92,2,lost,v Australia,Kolkata,1987-08-11,lost
